id,titulo,enlace,imagen_principal,camaras,area,ciudad,precio,descripcion,habitaciones,banos,tamano,parqueos
2749582,Apartamento en alquiler Lirios de Cayala de 2 habitaciones con amplia terraza,https://mapainmueble.com/properties/apartamento-en-alquiler-lirios-de-cayala-de-2-habitaciones-con-amplia-terraza-daa42633/,https://mapainmueble.com/wp-content/uploads/2025/01/2025-01-14-67871c8134fd7-800x467.webp,10,Zona 16,"*Guatemala, Ciudad","$ 1,550","Apartamento en alquiler Lirios de Cayala con amplia terraza Moderno, seguro y con hermosa ...",2,2,160 m2,2
2734566,"Apartamento en alquiler, Acantos de Cayalá, zona 16",https://mapainmueble.com/properties/apartamento-en-alquiler-acantos-de-cayala-zona-16-caa13097/,https://mapainmueble.com/wp-content/uploads/2024/12/2024-12-30-67732c1b46d5e-835x467.webp,11,Zona 16,"*Guatemala, Ciudad","$ 3,000mantenimiento incluido","Apartamento en alquiler, Acantos de Cayalá, zona 16 205 m2 de apartamento, más 13 m2 de 1 ...",2,2.5,205 m2,2
2732408,APARTAMENTO MILENIA ZONA 10,https://mapainmueble.com/properties/apartamento-milenia-zona-10-daa42348/,https://mapainmueble.com/wp-content/uploads/2024/12/2024-12-23-6769affa610b1-835x467.webp,4,Zona 10,"*Guatemala, Ciudad","$ 2,000DOLARES",192 Mts2 192 Mts 192 Mts,3,4,192 m2,3
2724362,RENTO APARTAMENTO NUEVO Z.16  SAN ISIDRO 2021 T3,https://mapainmueble.com/properties/rento-apartamento-nuevo-z16-san-isidro-2021-t3-daa43558/,https://mapainmueble.com/wp-content/uploads/2024/12/2024-12-10-6758a5df30461-1-835x467.webp,10,Zona 16,"*Guatemala, Ciudad",$ 800,Rento Apartamento. Z 16 San Isidro 2021 Torre 3 -Para estrenar !! -70 Mt2 de apartamento -...,2,2,71 m2,2
2721902,Apartamento en alquiler zona 14 Santa Inés de 3 habitaciones,https://mapainmueble.com/properties/apartamento-en-alquiler-zona-14-santa-ines-de-3-habitaciones-amueblado-daa42144/,https://mapainmueble.com/wp-content/uploads/2024/12/2024-12-05-675236656b596-835x467.webp,9,Zona 14,"*Guatemala, Ciudad","$ 3,499",Apartamento en alquiler Santa ines zona 14 de 3 dormitorios Ubicado en edificio moderno de...,3,3.5,252 m2,3
2719378,Acantos de Cayala apartamento en alquiler zona 16 de 3 habitaciones,https://mapainmueble.com/properties/apartamento-en-alquiler-cayala-zona-16-cerca-del-americano-daa42071/,https://mapainmueble.com/wp-content/uploads/2024/12/2025-02-18-67b4b3cd76376-835x467.webp,9,Zona 16,"*Guatemala, Ciudad","$ 3,800Mas IVA",Acantos de Cayala apartamento en alquiler zona 16 Apartamento en renta Acantos de Cayala d...,3,3.5,339 m2,4
2697322,Apartamento en alquiler zona 14  de 3 dormitorios de lujo,https://mapainmueble.com/properties/apartamento-en-alquiler-santa-ines-zona-14-amueblado-de-3-dormitorios-daa41616/,https://mapainmueble.com/wp-content/uploads/2024/11/2024-11-12-894161990.jpg,12,Zona 14,"*Guatemala, Ciudad","$ 3,499",Apartamento en alquiler zona 14 de 3 dormitorios Ubicado en edificio moderno de la zona 14...,3,3.5,252 m2,3
2483855,Apartamento AMUEBLADO zona 15,https://mapainmueble.com/properties/apartamento-amueblado-zona-15-DAA37196/,https://mapainmueble.com/wp-content/uploads/2024/05/2024-05-07-878323042-600x467.jpg,11,Zona 15,"*Guatemala, Ciudad","$ 1,400iva incluido","Precioso Apartamento completamente EQUIPADO y AMUEBLADO, edificio PARQUE 15 zona 15 Vista ...",2,2,70 m2,2
2453643,ALQUILER APARTAMENTO ZONA 14 AMUEBLADO,https://mapainmueble.com/properties/alquiler-apartamento-zona-14-para-estrenar-daa36605/,https://mapainmueble.com/wp-content/uploads/2024/04/2024-04-15-367350234-800x467.jpg,17,Zona 14,"*Guatemala, Ciudad","$ 1,7000",Precioso apartamento en zona 14 para estrenar. Ubicado en el Edificio Reserva 5ta. Avenida...,2,2,75 m2,2
1716200,Penthouse elegante vista volcanes y ciudad Vista Hermosa II Z15,https://mapainmueble.com/properties/oportunidad-penthouse-amplio-bien-localizado-zona-15-edificio-orleans-daa19964/,https://mapainmueble.com/wp-content/uploads/2022/06/2022-06-10-1174137100-640x467.jpg,12,Zona 15,"*Guatemala, Ciudad","$ 1,950","DVA -11029  Penthouse muy elegante (acabados de lujo) con mucha luz, altura, chimenea, esp...",3,3.5,445 m2,3
2823428,Apartamento en Renta Zona 14,https://mapainmueble.com/properties/apartamento-en-renta-amueblado-o-sin-muebles-en-zona-14-DAA33805/,https://mapainmueble.com/wp-content/uploads/2025/02/2023-12-15-1691592586.jpg,6,Zona 14,"*Guatemala, Ciudad","$ 1,620$",APARTAMENTO EN RENTA ZONA 14 • Sala- comedor • 1 dormitorio (máster con walkin closet y ba...,3,3,139 m2,2
2823407,"Rento Apartamento en Zona 5 Colonia Vivibien. Zona 5, Ciudad de Guatemala, Guatemala CityMax Diamond RENTA/ALQUILER",https://mapainmueble.com/properties/rento-apartamento-en-zona-5-colonia-vivibien-zona-5-ciudad-de-guatemala-guatemala-citymax-diamond-rentaalquiler-daa43867/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-28-67c242ddd29c9-800x467.webp,10,Zona 5,"*Guatemala, Ciudad","$ 3,475Col. Vivibien","Apartamento Tipo Estudio en Zona 5 Colonia Vivibien Excelente ubicación, con fáciles acces...",1,1,37 m2,2
2823399,Amplio Apartamento en Renta en Zona 14,https://mapainmueble.com/properties/amplio-apartamento-en-renta-en-zona-14-daa43865/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-28-67c2394049404-600x467.webp,6,Zona 14,"*Guatemala, Ciudad","$ 2,959$",Amplio Apartamento en Renta en Zona 14 • 2 parqueos • 2 habitaciones • 2 baños • Cuarto y ...,2,2,295 m2,2
2823374,APARTAMENTO EN RENTA SAN CRISTOBAL,https://mapainmueble.com/properties/apartamento-en-renta-san-cristobal-daa43864/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-28-67c2381b811f8-835x467.webp,10,Zona 8 Mixco,"*Guatemala, Ciudad",$ 367Mantenimiento incluido,"Precio: Q 2,830 Mantenimiento incluido = incluye: agua, extracción de basura, seguridad Ár...",2,1,100 m2,0
2823277,"Apartamento en alquiler, Cayalá, zona 16",https://mapainmueble.com/properties/apartamento-en-alquiler-cayala-zona-16-caa13599/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-28-67c22f4ce08ec-835x467.webp,8,Zona 16,"*Guatemala, Ciudad","$ 3,300más IVA","Apartamento en venta y alquiler, Cayalá, zona 16 299 m2 de apartamento, más 1 bodega, más ...",3,2.5,299 m2,2
2823192,Apartamento con el precio mas bajo x m² en Zona 15,https://mapainmueble.com/properties/apartamento-con-el-precio-mas-bajo-x-m2-en-zona-15-daa43863/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-28-67c22dbaa98ab-1-835x467.webp,24,Zona 15,"*Guatemala, Ciudad","$ 5,850Incluye Mantenimiento","Apartamento en Alquiler – ¡La mejor renta por m² en Zona 15! Q5,850 / mes (Incluye manteni...",2,2,70 m2,1
2823076,"Apartamento Amueblado en alquiler, Edificio Bellagio, zona 14",https://mapainmueble.com/properties/apartamento-amueblado-en-alquiler-edificio-bellagio-zona-14-daa43848/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-28-67c1ec8bde79d-835x467.webp,11,Zona 14,"*Guatemala, Ciudad","$ 2,500mantenimiento incluido","Apartamento Amueblado en alquiler, Edificio Bellagio, zona 14 3 habitaciones cada una con ...",3,3,na,3
2823014,"Apartamento en Renta para Estrenar en Nuvo Naranjo, Mixco",https://mapainmueble.com/properties/apartamento-en-renta-para-estrenar-en-nuvo-naranjo-mixco-daa43862/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-28-67c2181758789-600x467.webp,17,Zona 4 Mixco,"*Guatemala, Ciudad","$ 840(GTQ 6,700.00)",Vive a pasos de Paíz Naranjo! Características del apartamento: • Para estrenar • Nivel alt...,3,2.5,84 m2,2
2822993,Se renta apartamento amueblado moderno tipo estudio en zona 15,https://mapainmueble.com/properties/se-renta-apartamento-amueblado-moderno-tipo-estudio-en-zona-15-daa43860/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-28-67c2183f6540e-835x467.webp,5,Zona 15,"*Guatemala, Ciudad",$ 544MAR-1456,Apartamento tipo estudio I Renta I Zona 15 1 habitaciony 1 parqueos HAZ TU CITA por llamad...,1,1,48 m2,1
2822986,Se renta apartamento estilo estudio en zona 15,https://mapainmueble.com/properties/se-renta-apartamento-estilo-estudio-en-zona-15-daa43859/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-28-67c216ec47b34-835x467.webp,6,Zona 15,"*Guatemala, Ciudad",$ 525MAR-1455,Apartamento tipo estudio I Renta I Zona 15 1 habitaciony 1 parqueos HAZ TU CITA por llamad...,1,1,40 m2,1
2822922,RENTO APARTAMENTO EN EDIFICIO STATERA ZONA 2,https://mapainmueble.com/properties/rento-apartamento-en-edificio-statera-zona-2-daa43858/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-28-67c2129d95fb3-835x467.webp,9,Zona 2,"*Guatemala, Ciudad",$ 769,Ubicación: Edificio Statera Zona 2 Área de construcción: 70 m2 Especificaciones: – S...,2,2,70 m2,2
2822761,APARTAMENTO EN RENTA ZONA 11,https://mapainmueble.com/properties/apartamento-en-renta-zona-11-daa43857/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-28-67c20c05dd70f-1-600x467.webp,32,Zona 11,"*Guatemala, Ciudad",$ 885,"Apartamento en Renta en Zona 11 – 98 m2, 3 Parqueos. – Ubicado en una de las z...",3,2,98 m2,3
2822713,RENTO APARTAMENTO DE 3 HABS EN ATTICA ZONA 14,https://mapainmueble.com/properties/rento-apartamento-de-3-habs-en-attica-zona-14-daa43855/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-28-67c20578eb9c4-600x467.webp,12,Zona 14,"*Guatemala, Ciudad","$ 1,250","Ubicación: Edificio Attica II, zona 14, Ciudad de Guatemala. Área de construcción: 139 m2 ...",3,2,139 m2,2
