id,camaras,area,precio,habitaciones,banos,tamano,parqueos
2815157,5,7,697,3,2,105,2
2815153,6,10,1650,3,2.5,na,2
2815138,13,14,1800,2,2,125,2
2815093,9,9,1000,3,2,76,2
2814938,45,14,700,1,1,43,1
2814786,45,10,900,2,2,75,2
2814710,9,14,900,1,1.5,na,1
2814693,16,11,744,2,1.5,na,2
2814677,5,10,980,1,1,na,1
2814665,12,10,1500,3,2.5,146,2
2814515,4,9,4500,2,1,79,1
2814436,15,16,765,3,2,81,2
2814312,45,14,8501,1,1,44,1
2814304,12,11,7153,3,2,94,2
2814295,9,14,9001,1,1.5,na,1
2814224,45,14,905,1,1,56,1
2814142,51,15,1300,2,2,116,2
2814108,7,15,1250,2,2,90,2
2814062,45,4,850,2,na,na,2
2814055,6,14,1400,3,2,120,2
2814046,8,16,3800,3,3.5,338,4
2814032,12,14,1950,2,2.5,228,2
2814007,5,15,950,2,2,106,2
2813977,48,14,850,1,1,44,1
2813959,8,16,1200,2,2,70,2
2813947,10,14,2200,2,2.5,295,2
2813832,43,10,975,2,2,72,2
2813810,10,14,1200,2,2,107,2
2813798,11,14,2500,2,2.5,146,2
2813794,3,10,450,1,1,40,1
2813788,5,4,580,1,1,40,1
2813770,11,10,577,2,2,60,1
2813637,12,10,830,3,2,100,2
2813575,45,13,1200,2,2,na,2
2813561,11,15,1200,2,2,116,2
2813406,9,16,770,1,1,na,0
2813353,45,14,2700,2,2.5,na,2
2813194,7,16,6850,1,1,45,1
2812979,11,16,850,3,2,100,2
2812849,12,4,388,3,1,95,1
2812818,9,14,1000,1,2,100,1
2812740,42,16,1200,2,2,70,2
2812724,8,10,697,2,1,43,1
2812710,10,13,842,3,2,150,3
2812689,6,14,900,1,1.5,96,2
2812688,14,15,245000,2,na,na,0
2812662,10,13,650,1,1,32,1
2812650,11,12,712,2,2,58,1
2812498,12,15,950,2,2,115,2
2812408,48,10,1000,2,2,70,3
2812283,45,15,1950,3,2.5,154,3
2812222,51,14,1500,3,2.5,140,2
2812186,11,16,1600,3,2,91,2
2812092,45,14,5600,3,3.5,342,3
2812087,4,7,530,3,2,na,2
2812186,11,16,1600,3,2,91,2
2812092,45,14,5600,3,3.5,342,3
2812087,4,7,530,3,2,na,2
2812058,5,1,420,1,na,40,0
2812039,17,14,2960,2,3,295,2
2811940,45,16,2500,3,3,230,2
2811679,9,10,1300,2,2,80,2
2811651,10,10,2100,3,2,114,2
2811627,10,10,750,1,1,70,1
2811604,45,16,825,3,2,83,2
2811559,51,10,1200,1,1,105,2
2811525,10,15,1300,2,2.5,135,2
2811481,8,16,875,3,2,80,2
2811456,15,10,1800,2,2.5,222,2
2811388,7,16,3800,3,4,338,4
2811340,45,16,2500,3,2.5,230,2
2811288,51,4,2,2,na,na,0
2811277,10,14,750800,2,2,2,0
2811168,32,9,2,2,2,na,0
2811154,13,15,1200,2,na,na,0
2810833,51,10,18003,3,2.5,120,3
2810828,45,15,15003,3,2,198,2
2810768,45,16,600,2,1,45,1
2810754,13,15,1100,2,1.5,77,2
2810692,10,14,875,1,1,72,1
2810680,11,13,1100,2,2,75,2
2810675,4,14,850,2,2,67,2
2810660,14,14,1100,3,2.5,225,2
2810574,8,16,3800,3,3.5,337,4
2810514,45,14,1950,2,2.5,228,2
2810431,26,14,2500,2,2.5,146,2
2810345,45,4,695,2,1,100,2
2810331,5,San Miguel Petapa,450,3,21,na,1
2810274,6,15,775,2,1,86,2
2810256,5,13,1300,3,3,195,1
2810215,8,1,580,2,1,80,1
2810200,14,4,760,2,2,74,1
2810192,7,10,950,1,2,90,2
2810172,6,10,1600,3,2,167,2
2810102,12,5,8186500,3,2,92,2
2810053,48,11,650,1,1,33,1
2810005,3,16,1700,2,2,80,1
2809871,5,15,1000,2,2,66,2
2809829,1,16,1900,3,2.5,117,2
2809823,5,10,900,2,2,na,1
2809817,5,15,1275,2,2.5,101,2
2809805,7,16,3200,3,2.5,200,2
2809737,9,10,2000,3,2,125,2
2809702,7,16,1700,2,2,80,1
2809582,12,Santa Catarina Pinula,566,3,2,64,2
2809568,10,8,500,2,1,100,2
2809459,51,Carretera a El Salvador,600,2,2,75,2
2809348,12,14,1250,3,2,139,2
2809298,16,14,2700,2,2.5,295,2
2809286,17,11,640,2,2,59,1
2809235,6,14,900,2,2,70,2
2809123,45,14,2800,2,2.5,240,2
2809014,12,15,1700,2,2.5,147,3
2808936,10,14,2800,2,2,240,2
2808791,5,11,650,2,2,na,2
2808761,8,16,1450,2,2,80,2
2808710,6,9,800,2,1,70,2
2808611,8,13,8052,2,1,55,2
2808609,10,16,14502,2,2,102,2
2808509,13,16,2200,3,3,na,2
2808484,9,16,1200,2,2,70,2
2808436,6,15,650,1,2,na,2
2808387,10,16,1450,2,2,160,2
2808347,10,15,775,2,1,86,2
2808164,9,14,1950,2,2.5,228,2
2808023,12,16,3500,3,2.5,428,2
2808021,15,2,8453,3,2,na,2
2807996,13,14,2970,2,2.5,295,2
2807940,8,15,1600,2,2.5,na,2
2807918,6,15,775,2,1,89,2
2807873,13,14,1950,2,2.5,228,2
2807856,9,16,1200,2,2,84,2
