id,camaras,area,precio,habitaciones,banos,tamano,parqueos
2816691,7,14,2965.0,2,2.0,295.0,2
2816661,8,4,650.0,1,1.0,1.0,1
2816627,4,10,490.0,1,1.0,70.0,1
2816456,6,15,1250.0,2,2.0,80.0,2
2816422,45,14,1192.46,3,2.0,82.0,2
2816271,9,16,875.0,2,2.0,90.0,2
2816227,6,Santa Catarina Pinula,537.0,3,1.0,60.0,1
2816125,13,10,1000.0,2,2.0,70.0,3
2816053,9,14,820.0,1,1.0,100.0,1
2815838,9,15,1150.0,3,2.0,102.0,2
2815765,13,16,850.0,2,2.0,83.0,3
2815689,9,15,1300.0,2,2.0,116.0,2
2815521,5,15,1076.0,2,2.5,70.0,2
2815364,11,Carretera a El Salvador,1100.0,2,2.0,164.0,2
2815308,10,15,1275.0,2,2.0,101.0,2
2815252,11,11,600.0,2,2.0,59.0,1
2815157,5,7,697.0,3,2.0,105.0,2
2815138,13,14,1800.0,2,2.0,125.0,2
2815093,9,9,1000.0,3,2.0,76.0,2
2814938,45,14,700.0,1,1.0,43.0,1
2814786,45,10,900.0,2,2.0,75.0,2
2814665,12,10,1500.0,3,2.5,146.0,2
2814515,4,9,4500.0,2,1.0,79.0,1
2814436,15,16,765.0,3,2.0,81.0,2
2814312,45,14,8501.0,1,1.0,44.0,1
2814304,12,11,7153.0,3,2.0,94.0,2
2814224,45,14,905.0,1,1.0,56.0,1
2814142,51,15,1300.0,2,2.0,116.0,2
2814108,7,15,1250.0,2,2.0,90.0,2
2814055,6,14,1400.0,3,2.0,120.0,2
2814046,8,16,3800.0,3,3.5,338.0,4
2814032,12,14,1950.0,2,2.5,228.0,2
2814007,5,15,950.0,2,2.0,106.0,2
2813977,48,14,850.0,1,1.0,44.0,1
2813959,8,16,1200.0,2,2.0,70.0,2
2813947,10,14,2200.0,2,2.5,295.0,2
2813832,43,10,975.0,2,2.0,72.0,2
2813810,10,14,1200.0,2,2.0,107.0,2
2813798,11,14,2500.0,2,2.5,146.0,2
2813794,3,10,450.0,1,1.0,40.0,1
2813788,5,4,580.0,1,1.0,40.0,1
2813770,11,10,577.0,2,2.0,60.0,1
