id,titulo,enlace,imagen_principal,camaras,area,ciudad,precio,descripcion,habitaciones,banos,tamano,parqueos
2749582,Apartamento en alquiler Lirios de Cayala de 2 habitaciones con amplia terraza,https://mapainmueble.com/properties/apartamento-en-alquiler-lirios-de-cayala-de-2-habitaciones-con-amplia-terraza-daa42633/,https://mapainmueble.com/wp-content/uploads/2025/01/2025-01-14-67871c8134fd7-800x467.webp,10,Zona 16,"*Guatemala, Ciudad","$ 1,550","Apartamento en alquiler Lirios de Cayala con amplia terraza Moderno, seguro y con hermosa ...",2,2,160 m2,2
2734566,"Apartamento en alquiler, Acantos de Cayalá, zona 16",https://mapainmueble.com/properties/apartamento-en-alquiler-acantos-de-cayala-zona-16-caa13097/,https://mapainmueble.com/wp-content/uploads/2024/12/2024-12-30-67732c1b46d5e-835x467.webp,11,Zona 16,"*Guatemala, Ciudad","$ 3,000mantenimiento incluido","Apartamento en alquiler, Acantos de Cayalá, zona 16 205 m2 de apartamento, más 13 m2 de 1 ...",2,2.5,205 m2,2
2724362,RENTO APARTAMENTO NUEVO Z.16  SAN ISIDRO 2021 T3,https://mapainmueble.com/properties/rento-apartamento-nuevo-z16-san-isidro-2021-t3-daa43558/,https://mapainmueble.com/wp-content/uploads/2024/12/2024-12-10-6758a5df30461-1-835x467.webp,10,Zona 16,"*Guatemala, Ciudad",$ 800,Rento Apartamento. Z 16 San Isidro 2021 Torre 3 -Para estrenar !! -70 Mt2 de apartamento -...,2,2,71 m2,2
2721902,Apartamento en alquiler zona 14 Santa Inés de 3 habitaciones,https://mapainmueble.com/properties/apartamento-en-alquiler-zona-14-santa-ines-de-3-habitaciones-amueblado-daa42144/,https://mapainmueble.com/wp-content/uploads/2024/12/2024-12-05-675236656b596-835x467.webp,9,Zona 14,"*Guatemala, Ciudad","$ 3,499",Apartamento en alquiler Santa ines zona 14 de 3 dormitorios Ubicado en edificio moderno de...,3,3.5,252 m2,3
2719378,Acantos de Cayala apartamento en alquiler zona 16 de 3 habitaciones,https://mapainmueble.com/properties/apartamento-en-alquiler-cayala-zona-16-cerca-del-americano-daa42071/,https://mapainmueble.com/wp-content/uploads/2024/12/2025-02-18-67b4b3cd76376-835x467.webp,9,Zona 16,"*Guatemala, Ciudad","$ 2,350Mas IVA",Acantos de Cayala apartamento en alquiler zona 16 Apartamento en renta Acantos de Cayala d...,3,3.5,339 m2,4
2697322,Apartamento en alquiler zona 14  de 3 dormitorios de lujo,https://mapainmueble.com/properties/apartamento-en-alquiler-santa-ines-zona-14-amueblado-de-3-dormitorios-daa41616/,https://mapainmueble.com/wp-content/uploads/2024/11/2024-11-12-894161990.jpg,12,Zona 14,"*Guatemala, Ciudad","$ 3,499",Apartamento en alquiler zona 14 de 3 dormitorios Ubicado en edificio moderno de la zona 14...,3,3.5,252 m2,3
1716200,Penthouse elegante vista volcanes y ciudad Vista Hermosa II Z15,https://mapainmueble.com/properties/oportunidad-penthouse-amplio-bien-localizado-zona-15-edificio-orleans-daa19964/,https://mapainmueble.com/wp-content/uploads/2022/06/2022-06-10-1174137100-640x467.jpg,12,Zona 15,"*Guatemala, Ciudad","$ 2,200","DVA -11029  Penthouse muy elegante (acabados de lujo) con mucha luz, altura, chimenea, esp...",3,3.5,445 m2,3
2812408,Apartamento amueblado en renta en zona 10,https://mapainmueble.com/properties/apartamento-amueblado-en-renta-en-zona-10-daa43722/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-24-67bc9d9976270-835x467.webp,6,Zona 10,"*Guatemala, Ciudad","$ 1,000",• 70 m2 • Amueblado y equipado • Sala- comedor con salida al balcón • Cocina con gabinetes...,2,2,70 m2,3
2812283,APARTAMENTO NUEVO SAN LÁZARO ZONA 15 DE 3 HAB AGT2500,https://mapainmueble.com/properties/apartamento-nuevo-san-lazaro-zona-15-de-3-hab-agt2500-daa43721/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-24-67bc94151bfe5-835x467.webp,45,Zona 15,"*Guatemala, Ciudad","$ 1,950",«ALQUILOGT CÓDIGO: 2500 ALBERO SAN LÁZARO – 3 Habitaciones y 2.5 baños – Cocin...,3,2.5,154 m2,3
2812222,ALQUILER EN EDIFICIO ATTICA,https://mapainmueble.com/properties/alquiler-en-edificio-attica-daa43720/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-24-67bc8d9a4bc78-2-600x467.webp,51,Zona 14,"*Guatemala, Ciudad","$ 1,500",140mt2 2 parqueos 2.5 baños 3 habitaciones Sala comedor cocina Sala familiar Lavanderia I...,3,2.5,140 m2,2
2812186,ALQUILO APARTAMENTO LIRIOS CAYALA,https://mapainmueble.com/properties/alquilo-apartamento-lirios-cayala-daa43719/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-24-67bc88afc9989-600x467.webp,11,Zona 16,"*Guatemala, Ciudad","$ 1,600",91mtrs2 3 habitaciones Sala / Comedor / Cocina Balcón 2 parqueos Amenidades: piscinas inf...,3,2,91 m2,2
2812092,Apartamento en Alquiler en zona 14 de 3 habitaciones,https://mapainmueble.com/properties/apartamento-en-alquiler-en-zona-14-de-3-habitaciones-daa43717/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-23-67bc00a8d7184-2-835x467.webp,45,Zona 14,"*Guatemala, Ciudad","$ 5,600",CÓDIGO DE PROPIEDAD 1727 • 342.33 Mts. • 3 parqueos • Baño de visitas • Lavandería equipad...,3,3.5,342 m2,3
2812087,Apartamento en renta en Edificio Portico Zona 7 3 habitaciones,https://mapainmueble.com/properties/apartamento-en-renta-en-edificio-portico-zona-7-3-habitaciones-caa13542/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-23-67bbf79cdfb8e-835x467.webp,4,Zona 7,"*Guatemala, Ciudad",$ 530,*SE RENTA APARTAMENTO EN EDIFICIO PORTICO EN ZONA 7* ➖Ubicado a pocos metros de Calzada Ro...,3,2,na,2
2812087,Apartamento en renta en Edificio Portico Zona 7 3 habitaciones,https://mapainmueble.com/properties/apartamento-en-renta-en-edificio-portico-zona-7-3-habitaciones-caa13542/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-23-67bbf79cdfb8e-835x467.webp,4,Zona 7,"*Guatemala, Ciudad",$ 530,*SE RENTA APARTAMENTO EN EDIFICIO PORTICO EN ZONA 7* ➖Ubicado a pocos metros de Calzada Ro...,3,2,na,2
2812058,Apartamento efficiency en renta Amueblado,https://mapainmueble.com/properties/apartamento-efficiency-en-renta-amueblado-daa43716/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-23-67bbebcbf2b59-600x467.webp,5,Zona 1,"*Guatemala, Ciudad",$ 420,"Edificio Centro Vivo Zona 1 6to nivel, Apartamento estudio Equipado Amueblado Tv 42″...",1,na,40 m2,0
2812039,"Alquiler de amplio Apartamento 2 dormitorios en Tadeus, Zona 14",https://mapainmueble.com/properties/alquiler-de-amplio-apartamento-2-dormitorios-en-tadeus-zona-14-daa43650/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-20-67b73c8c983b5-600x467.webp,17,Zona 14,"*Guatemala, Ciudad","$ 2,960","Alquiler de Amplio y Exclusivo Apartamento en Tadeus, Zona 14 Cuenta con: 295mt2 de constr...",2,3,295 m2,2
2811940,Alquilo lindo apartamento en Balyana Encinos 3 cuenta con 3 habitaciones,https://mapainmueble.com/properties/alquilo-lindo-apartamento-en-balyana-encinos-3-cuenta-con-3-habitaciones-daa43715/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-23-67bbcdcb25f53-2-835x467.webp,45,Zona 16,"*Guatemala, Ciudad","$ 2,500",Encinos de Cayala 3 Balyana 3 habitaciones (Principal con walk in closet y baño) Secundari...,3,3,230 m2,2
2811679,Alquilo apartamento en Vasanta zona 10,https://mapainmueble.com/properties/alquilo-apartamento-en-vasanta-zona-10-caa13541/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-23-67bbc4d0d5c01-835x467.webp,9,Zona 10,"*Guatemala, Ciudad","$ 1,300",Alquilo apartamento ubicado en Edificio Vasanta zona 10 80 mts de construccion Sala Comedo...,2,2,80 m2,2
2811651,Alquilo apartamento en Vasanta zona 10,https://mapainmueble.com/properties/alquilo-apartamento-en-vasanta-zona-10-caa13540/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-23-67bbc456655fa-835x467.webp,10,Zona 10,"*Guatemala, Ciudad","$ 2,100",Alquilo apartamento ubicado en Edificio Vasanta zona 10 114 mts de construccion Sala Comed...,3,2,114 m2,2
2811627,Alquilo apartamento en Senseti zona 10,https://mapainmueble.com/properties/alquilo-apartamento-en-senseti-zona-10-daa43714/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-23-67bbc418ef807-835x467.webp,10,Zona 10,"*Guatemala, Ciudad",$ 750,Alquilo apartamento para estrenar en Senseti 10 zona 10 70 mts de construccion Sala Comedo...,1,1,70 m2,1
2811604,Alquilo apartamento amueblado en Senderos zona 16,https://mapainmueble.com/properties/alquilo-apartamento-amueblado-en-senderos-zona-16-caa13539/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-23-67bbc3c67192e-2-450x467.webp,45,Zona 16,"*Guatemala, Ciudad",$ 825,Alquilo apartamento amueblado en Senderos zona 16 83 mts de construccion Sala Comedor Coci...,3,2,83 m2,2
2811559,Alquilo apartamento en Santa Sofia zona 10,https://mapainmueble.com/properties/alquilo-apartamento-en-santa-sofia-zona-10-caa13538/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-23-67bbc2f347d08-2-600x467.webp,51,Zona 10,"*Guatemala, Ciudad","$ 1,200",Alquilo apartamento en edificio Santa Sofia zona 10 105 mts de construccion Sala Comedor C...,1,1,105 m2,2
2811525,Alquilo apartamento en Midori zona 15,https://mapainmueble.com/properties/alquilo-apartamento-en-midori-zona-15-caa13537/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-23-67bbc251d2976-835x467.webp,10,Zona 15,"*Guatemala, Ciudad","$ 1,300",Alquilo apartamento en Midori zona 15 135 mts de construccion Sala Comedor Cocina 2 habita...,2,2.5,135 m2,2
